Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
ERICH1-AS1,-0.837,0.11
ITPKA,0.149,-0.448
PHOSPHO1,0.166,0.598
TFB2M,-0.852,0.275
PAG1,-0.843,0.157
DSCAM,-0.34,-0.066
SATB1,-0.245,0.647
SATB2,-0.484,0.422
SOCS2,-0.101,0.479
SECISBP2,-0.9,-0.235
SOCS5,-0.841,0.311
TRERF1,-0.805,0.361
SLITRK4,-0.039,0.143
SLITRK3,-0.725,0.536
CARTPT,0.117,-0.343
COL24A1,0.341,-0.348
SLITRK6,0.631,0.028
DSCC1,-0.802,0.492
TFAP4,-0.136,0.657
LOC439962,-0.362,0.495
MUM1,-0.791,0.069
TOMM7,-0.148,-0.774
TOMM6,0.57,-0.294
REEP6,-0.63,0.2
CSTF3,-0.547,-0.616
CSTF2,-0.884,-0.009
ACY3,0.273,-0.703
HRASLS2,-0.001,-0.627
MTRF1L,-0.803,-0.331
REEP2,-0.06,0.722
REEP4,0.428,0.418
REEP5,0.046,0.262
DIO2,0.698,-0.514
DIO3,0.519,-0.061
HRASLS5,0.223,-0.636
SCARA5,0.383,-0.775
PAK6,0.172,-0.033
LOC100288893,-0.92,-0.073
PAK1,-0.074,-0.043
KPNB1,-0.053,-0.24
MURC,-0.791,-0.086
KPNA5,-0.379,0.512
LOC147727,0.393,-0.541
NUDT22,-0.568,0.17
CYP26B1,-0.067,-0.039
ENO2,-0.594,0.191
LOC439914,-0.038,-0.666
ENO3,-0.439,-0.16
BDH2,0.414,-0.536
ENO1,0.381,-0.796
ACTB,0.392,-0.021
ARMC10,-0.282,-0.887
DIS3,-0.864,0.237
ACPL2,-0.745,0.388
SUMF1,-0.205,-0.799
C6orf222,0.697,-0.508
LOC100294059,-0.713,0.16
C6orf221,0.711,-0.203
C6orf226,-0.678,-0.46
C6orf225,0.502,-0.671
CCDC42B,0.149,-0.606
PGAM1,0.179,-0.475
MYLIP,-0.297,-0.76
PGAM5,0.444,-0.588
IGLL1,-0.342,0.374
L3MBTL4,0.444,-0.43
MYLK3,0.599,0.068
MYLK4,-0.567,0.169
MYLK2,-0.429,0.28
SAPS1,0.142,-0.141
ZWINT,-0.281,-0.623
SAPS3,-0.905,0.062
LOC100129781,-0.266,0.312
SFRS16,-0.707,0.118
GOLPH3L,-0.161,-0.735
SFRS14,-0.637,0.503
SFRS11,-0.84,-0.244
FOXRED2,0.289,-0.709
C6orf211,-0.765,0.416
Sep-12,-0.354,0.693
FOXRED1,-0.667,-0.067
CYP2R1,0.252,-0.557
AC092324.1,0.782,-0.443
CYP2J2,0.277,-0.414
ELF2,-0.822,-0.015
PPIEL,-0.611,0.53
SPAG17,0.058,-0.285
ASAH1,-0.546,-0.542
SPAG16,-0.701,0.265
ASAH2,-0.226,0.725
ST6GALNAC5,0.427,-0.682
ST6GALNAC6,-0.034,-0.878
SPIN3,-0.822,0.132
TMCO7,0.134,-0.318
PGAP1,0.386,-0.704
ST6GALNAC2,0.537,-0.216
ST6GALNAC1,-0.032,0.694
CHEK2P2,-0.237,-0.002
MTMR11,-0.565,-0.425
AP005433.1,0.233,0.229
VCAN,-0.609,-0.13
TMCO4,0.396,-0.365
LOC100130700,-0.543,-0.173
NHLRC2,-0.809,-0.01
NHLRC1,0.404,-0.681
LOC145837,0.434,-0.518
LOC151162,-0.877,-0.123
SNRK,-0.849,-0.144
PPP3CC,-0.738,0.444
PRSS16,-0.316,0.468
PPP3CA,-0.719,0.407
LMLN,-0.619,0.379
ACSL4,0.019,-0.787
ACSL3,-0.759,0.47
ACSL6,-0.546,0.502
PRSS12,0.406,-0.107
ACSL5,-0.564,-0.058
NSFL1C,-0.037,-0.887
STRADA,-0.735,0.278
WNT7B,0.589,-0.548
ACSM1,-0.002,0.256
KCMF1,-0.803,-0.385
PTP4A1,0.302,-0.081
PTP4A2,-0.518,-0.621
PRSS27,-0.115,0.112
PRSS23,0.699,-0.658
WNT7A,0.494,-0.15
ACSM5,0.783,-0.254
OR2AK2,-0.262,0.597
LMO1,0.635,-0.408
LMO2,-0.466,-0.058
LMO3,0.46,-0.74
LMO4,0.169,-0.142
LMO7,-0.288,-0.001
CYP2W1,0.372,0.143
C2CD2L,0.265,-0.506
PVALB,-0.57,0.653
SND1,-0.348,-0.859
CIB2,0.726,-0.425
MTUS2,-0.847,0.28
CIB1,0.459,-0.623
STMN2,-0.081,-0.354
LOC100286977,-0.907,0.117
ANKRD13A,-0.84,0.048
VAMP2,0.419,-0.543
STMN1,-0.355,-0.401
VAMP1,-0.719,0.558
SEPT7L,-0.623,0.374
PPIL2,-0.729,-0.068
TTC8,-0.411,-0.4
TTC1,-0.528,-0.626
PPIL3,-0.907,-0.303
PPIL6,-0.039,-0.879
PPIL5,-0.598,0.543
RILP,-0.664,0.219
MUC3,0.131,-0.113
R3HDM1,-0.385,0.179
MIR22HG,-0.509,0.062
DHRSX,-0.007,-0.665
ACSF3,-0.554,-0.318
NDUFAF1,-0.19,-0.824
ACSF2,0.391,-0.568
NDUFAF2,-0.599,-0.081
SC4MOL,-0.306,-0.819
DHRS9,0.42,-0.693
IFI16,-0.23,-0.565
DHRS7,-0.685,-0.578
DHRS2,0.581,-0.509
DHRS3,-0.059,-0.313
DHRS4,-0.613,-0.73
HAUS7,-0.447,-0.623
HAUS8,-0.745,0.042
EEF1A1P24,-0.454,-0.442
HAUS4,-0.552,0.253
HAUS5,-0.512,0.156
LOC100294072,0.249,-0.41
FAM13A,-0.615,-0.048
GRAMD4,0.546,-0.517
FAM13B,-0.443,0.561
GRAMD2,0.642,-0.441
KLK7,0.589,-0.72
KLK8,0.408,-0.301
KLK5,0.495,-0.659
ERLEC1P1,-0.462,-0.457
PRKG1,0.218,-0.308
UXS1,-0.173,0.61
RSPH1,-0.265,-0.919
MTG1,-0.39,0.585
RSPH3,-0.062,0.275
COL12A1,-0.432,-0.701
SAP30L,-0.787,-0.23
TMEM150C,0.813,0.113
VANGL2,0.556,-0.396
RSPH9,0.747,-0.562
TMEM150A,-0.735,-0.075
COASY,-0.019,-0.114
LOC100286909,-0.87,0.418
BDKRB1,-0.595,-0.131
BDKRB2,0.189,-0.189
C2orf27A,-0.631,0.441
BCOR,-0.679,0.296
KLF5,-0.328,-0.688
ASPSCR1,-0.256,0.6
KLF8,0.643,-0.649
HPCAL1,0.105,-0.839
KLF9,-0.405,0.767
EEF1A1P12,-0.622,-0.41
HPCAL4,0.412,-0.845
AGER,0.196,0.023
PCNXL2,-0.78,0.169
IFI27,-0.638,0.045
AC073346.1,0.505,-0.505
RIT1,0.165,-0.481
RIT2,0.118,-0.412
KLF2,-0.326,0.572
BCO2,-0.83,0.107
VBP1,0.256,-0.8
TRIAP1,-0.651,0.361
AGPAT5,0.148,-0.265
RP11-257K9.7,0.102,-0.323
NSMCE1,0.435,-0.534
AGPAT9,-0.726,0.573
MTBP,-0.269,0.797
NSMCE2,-0.761,-0.056
AGPAT3,-0.171,0.508
AGPAT2,0.291,-0.609
AGPAT1,0.407,-0.211
KHDC1,-0.035,-0.646
AC015936.3,0.653,-0.654
FKBP14,-0.068,-0.687
RIN2,-0.002,-0.352
MTAP,-0.786,0.373
RIN1,0.198,-0.41
FKBP11,0.022,-0.293
CHL1,0.057,-0.723
WFIKKN2,0.347,-0.01
MTDH,-0.815,0.209
RAP1GAP,0.062,-0.815
KLC4,-0.102,0.654
FKBP1A,0.274,-0.897
KLC2,-0.047,0.543
FKBP1B,0.419,-0.8
PGBD5,-0.182,-0.626
BCL2,-0.438,-0.469
PGBD4,-0.685,0.352
AC079061.1,-0.288,0.567
BCL3,-0.422,0.656
MLLT1,-0.181,-0.549
LOC100286952,0.237,0.27
BCL6,-0.055,-0.37
PNMAL1,0.673,-0.129
FUT2,0.098,0.712
MLLT6,-0.681,-0.229
MLLT4,-0.617,-0.329
PDS5B,-0.878,0.184
SOD2,-0.697,-0.227
CYP27C1,0.369,0.314
TOM1L1,0.616,-0.5
CHML,-0.826,0.265
CHN1,-0.533,0.47
CHN2,0.002,0.667
ACSS3,0.803,-0.104
PDRG1,-0.288,-0.851
AC005077.3,-0.575,0.038
PICK1,-0.412,0.072
TNKS2,-0.051,-0.744
CHPF,0.686,-0.064
HRASLS,0.405,-0.791
ZC3H4,-0.695,-0.222
AGFG2,-0.001,-0.473
SNX7,0.495,-0.807
SNX2,-0.181,-0.866
SNX3,-0.189,-0.717
RRAGD,0.079,-0.724
ZC3H6,-0.879,-0.028
RRAGB,0.469,-0.698
FOLR2,0.351,-0.698
FOLR1,0.479,-0.137
BCHE,0.431,-0.609
MTPN,-0.158,-0.822
PRSS56,-0.437,0.362
LOC100130797,-0.693,0.138
TSR1,-0.118,-0.762
TSR2,-0.42,-0.775
CADPS2,-0.584,0.674
AC004409.1,0.022,-0.317
MTOR,-0.088,0.091
CHRD,-0.913,0.113
NPIPL2,-0.682,0.18
ZCWPW2,-0.238,-0.652
BCAN,0.311,-0.476
UQCRFS1,0.128,-0.761
IMMP2L,-0.297,-0.792
KLHL25,0.254,-0.172
KLHL28,-0.571,0.039
KLHL24,-0.869,0.11
ZYX,-0.606,0.699
KLHL23,-0.024,-0.477
NPIPL3,-0.616,0.391
TSKU,0.434,-0.652
KLHL20,-0.809,0.024
PRKCA,-0.342,0.51
UBE2A,0.039,-0.83
COL23A1,0.722,0.003
PRKCI,0.168,0.331
UBE2F,-0.528,-0.425
UBE2I,0.321,-0.335
PRKCG,0.685,-0.669
PRKCE,-0.347,0.047
UBE2B,-0.226,-0.611
PRKCD,0.563,-0.798
PRKD1,0.158,-0.361
UBE2O,-0.646,0.332
KLHL18,-0.696,0.229
KLHL17,-0.443,0.425
KLHL15,-0.822,0.038
KLHL14,0.324,0.159
KLHL13,0.154,-0.684
KLHL12,0.335,-0.743
KLHL10,0.216,-0.087
RP11-60I3.5,0.26,-0.807
UBE2S,0.287,-0.803
C20orf7,-0.757,0.11
PRKCZ,-0.729,0.111
UBE2Z,-0.482,-0.814
C20orf3,-0.523,-0.792
UBE3A,-0.273,-0.831
HEATR7A,-0.694,0.151
MTL5,0.464,-0.403
SVOPL,-0.054,-0.309
KLHL31,0.013,-0.193
POFUT2,0.28,-0.312
KLHL35,-0.058,-0.83
DLC1,-0.455,-0.334
C3orf70,0.601,-0.337
C3orf78,0.325,-0.766
EMG1,0.121,-0.922
TTC7B,-0.022,-0.275
TGIF1,0.371,-0.318
EMCN,-0.739,0.237
KCNJ3,-0.891,0.126
KCNJ1,0.175,-0.687
MYO15A,-0.726,0.237
EME1,-0.686,-0.242
PPFIBP1,-0.633,-0.404
KCNK1,0.053,-0.48
KCNK2,0.502,-0.587
KCNK3,0.498,0.038
KCNJ5,0.504,0.072
KCNJ6,0.02,0.264
KCNJ9,-0.178,0.366
RP11-178A10.1,0.088,-0.437
KCNJ8,-0.251,-0.1
LOC100287988,0.335,-0.744
LOC100287987,0.766,-0.008
FNBP4,-0.762,-0.044
RWDD1,-0.723,0.353
MARCKS,0.072,-0.805
KCNH1,-0.341,0.6
TTC25,-0.837,-0.171
TTC26,-0.762,-0.049
SYNJ1,-0.473,-0.067
TTC29,-0.226,0.328
TTC28,-0.502,0.1
C3orf37,-0.906,-0.266
AP1S1,0.419,-0.658
C3orf35,-0.743,0.331
MSRA,0.035,-0.305
AP1S2,-0.704,-0.304
C3orf34,-0.079,0.144
C3orf31,-0.153,-0.87
HIST2H2AC,0.351,-0.079
SYNJ2,-0.506,-0.022
KCNG3,0.443,-0.657
KCNG1,0.737,-0.561
ZDHHC2,-0.851,0.33
TTC31,-0.366,-0.067
ZDHHC4,0.146,-0.731
ZDHHC3,-0.107,0.461
ZDHHC5,-0.571,0.576
ZDHHC7,-0.54,-0.767
ANXA2P1,0.346,-0.31
NDUFA12,-0.612,-0.26
NDUFA11,0.633,-0.426
C3orf26,0.089,-0.898
HIST2H2BE,-0.253,-0.429
HIST2H2BF,-0.884,-0.144
C3orf21,-0.56,0.22
KCNH6,-0.283,0.486
KCNH7,0.655,-0.011
KCNH8,-0.655,0.232
KCNH3,-0.214,-0.267
KCNH4,-0.402,0.626
KCNH5,0.511,0.353
TUFM,-0.184,-0.856
TUG1,-0.65,0.168
C3orf55,0.315,-0.44
C3orf54,0.532,-0.515
C3orf52,0.744,-0.041
C3orf59,0.081,-0.061
MT1A,0.422,-0.752
C3orf58,-0.76,0.226
PPP2CB,-0.445,-0.564
MT1E,0.734,-0.398
MT1B,0.61,-0.593
FBXW10,-0.193,0.238
MT1H,0.744,-0.286
MT1G,0.612,-0.589
MT1F,0.535,-0.523
KCNE4,0.203,-0.563
TTC12,0.392,0.539
SOAT1,-0.77,-0.239
MT1L,0.554,-0.668
MT1M,0.287,-0.687
WWTR1,0.084,-0.528
TTC17,-0.825,-0.346
TTC18,-0.26,-0.859
MT1X,0.587,-0.51
Mar-04,0.721,-0.289
Mar-03,0.591,-0.156
Mar-01,0.083,-0.53
Mar-02,-0.752,-0.315
C3orf44,0.632,-0.057
SOST,-0.565,0.537
MT2A,0.621,-0.549
ZBTB1,-0.912,0.152
RP4-758J18.2,-0.406,-0.813
KCNC2,0.013,0.12
KCNC1,-0.755,0.468
KCNC4,0.125,0.767
KCNC3,-0.732,0.48
AP1G2,-0.683,0.034
DLK2,0.568,-0.303
JAG1,-0.429,-0.456
DLK1,-0.411,0.167
RELL2,-0.794,0.271
ELOVL4,-0.758,0.467
ELOVL3,0.612,-0.09
ELOVL7,-0.86,-0.102
SAR1A,-0.464,-0.816
NMNAT3,0.177,-0.768
KCND3,-0.432,0.432
CTD-2514K5.2,0.454,-0.251
MTA3,0.088,-0.6
KRTDAP,-0.654,0.509
DLL3,0.203,-0.854
WEE1,0.166,0.023
PCOLCE2,0.36,-0.284
VCX2,-0.482,0.484
RASGRF2,0.328,-0.065
RASGRF1,-0.036,0.86
AC005277.1,-0.041,0.711
NMNAT1,0.315,-0.472
BBS7,-0.915,0.234
KCNA2,-0.354,0.751
KCNA1,-0.672,0.565
KCNA4,0.281,-0.548
KCNA3,-0.545,0.232
KCNA6,0.37,0.773
KCNA5,0.127,-0.418
TUBB,0.191,-0.934
TTBK2,-0.283,0.841
AC002472.9,-0.551,-0.012
ORC6L,0.294,-0.737
AC010624.2,-0.043,-0.64
KCNB2,0.513,-0.362
KCNB1,-0.341,0.793
UIMC1,-0.885,-0.022
HIVEP3,0.594,0.547
HIVEP2,-0.746,0.541
SOLH,-0.741,-0.027
SLFN5,-0.562,0.196
DLG4,0.549,-0.01
DLG5,-0.481,0.455
NFIL3,-0.721,0.346
DLG2,-0.1,-0.867
FAM24B,-0.606,-0.695
ZFY,-0.895,0.047
FAM24A,-0.277,0.079
ZFR,0.239,0.181
CHGA,-0.589,0.709
EMC3,-0.099,-0.843
RRAS2,0.722,-0.391
CDK2AP1,-0.471,-0.051
JAM2,-0.122,0.759
ALDH9A1,0.436,-0.731
C2orf73,0.222,-0.666
C2orf74,0.324,-0.217
AP1M2,0.525,-0.119
C2orf77,-0.381,-0.207
FAM27A,0.049,-0.679
SEC62,-0.861,-0.254
SEC63,-0.336,-0.852
CHD9,-0.886,0.033
C13orf3,-0.072,0.349
CHD1,-0.821,0.071
CHD6,-0.528,0.486
C2orf70,0.507,-0.321
CHD3,0.769,-0.12
C2orf84,-0.233,-0.862
C2orf86,-0.827,0.272
AMDHD1,0.064,0.023
JAK1,-0.471,0.531
JAK2,-0.716,0.353
C2orf80,0.338,-0.854
FAM26F,0.715,-0.296
C2orf82,0.367,0.58
C2orf60,0.152,-0.661
FAM20A,-0.134,0.607
FAM20C,-0.82,-0.016
FAM105A,0.191,-0.623
UHRF1BP1,-0.218,0.63
ADORA1,-0.63,-0.64
C2orf65,0.126,-0.27
C2orf69,-0.187,-0.911
ANKK1,-0.116,0.53
C2orf67,-0.197,-0.581
FAM21D,-0.78,-0.262
YY2,-0.425,0.26
ACRV1,-0.061,0.35
FER1L4,-0.49,0.548
MGAT5,-0.092,0.54
LOC100131722,-0.568,0.339
C2orf55,-0.37,-0.385
ENPP5,-0.666,0.445
ENPP6,-0.137,0.027
ENPP3,-0.124,0.443
TMCC2,-0.758,-0.316
FAM102A,0.019,-0.266
FAM102B,0.863,-0.188
LOC100131754,-0.443,0.111
C2orf43,0.269,-0.285
C2orf40,0.227,-0.499
FAM101A,-0.242,-0.73
LOC375295,0.014,-0.551
SSTR5-AS1,0.119,0.731
EDNRA,-0.612,0.595
EDNRB,0.633,-0.597
COL11A2,-0.511,0.162
COL11A1,0.537,-0.368
SARDH,0.704,-0.286
ZCCHC12,0.615,-0.71
ZCCHC10,-0.328,0.61
ZCCHC11,-0.63,0.037
ZCCHC18,0.312,-0.854
ZCCHC17,0.556,-0.686
ZCCHC14,-0.423,0.155
EEF1A1P9,-0.433,-0.382
AC013402.2,-0.568,0.615
C2orf15,0.045,-0.5
SH3KBP1,-0.347,-0.693
RP11-193H5.1,0.633,-0.175
C2orf18,-0.428,-0.369
TSNAXIP1,-0.585,-0.405
SCAPER,-0.127,-0.887
NXT2,0.306,-0.377
GNPTAB,0.356,-0.702
CD2BP2,-0.237,-0.869
SPEG,-0.106,0.439
DDIT4L,0.717,-0.176
AFF2,0.546,-0.231
AFF1,-0.891,0.123
KCNV1,0.107,-0.472
MICALL1,0.136,0.097
DKK2,0.418,0.35
DKK3,-0.3,-0.859
DKK1,-0.469,0.135
PPP1R8,-0.413,-0.324
LOC100131785,0.056,-0.787
AP000812.2,0.548,-0.496
FLJ32154,-0.079,0.467
TIRAP,0.297,0.454
LASS6,0.282,-0.403
RMND1,-0.742,-0.044
LOC286434,-0.769,0.074
SCUBE2,0.442,-0.621
LOC100287911,-0.645,0.307
SCUBE1,0.526,0.58
COL22A1,0.207,-0.181
LRP1B,0.55,-0.583
ELL3,0.492,-0.77
TIMM8B,0.613,-0.698
ELL2,-0.476,0.584
KCNT1,-0.387,0.848
KCNT2,0.086,-0.024
LRP12,-0.63,0.124
WNT5A,0.009,-0.74
SOX3,0.736,-0.164
SOX2,0.36,-0.551
SOX5,0.502,-0.641
ELK1,0.432,-0.35
SOX4,0.269,-0.546
SOX7,-0.672,0.153
SOX9,0.199,-0.769
KCNS3,-0.423,0.271
KCNS1,-0.624,0.489
KCNS2,-0.218,0.71
CNOT6L,-0.897,0.165
ENTPD7,-0.501,0.382
ENTPD6,0.314,-0.527
ENTPD3,-0.823,0.115
ENTPD4,-0.724,0.561
THAP10,-0.768,0.534
RP11-544M22.1,0.332,-0.821
ENTPD1,0.069,-0.648
ENTPD2,0.128,0.216
ADSSL1,-0.84,-0.044
WDR7,0.076,-0.521
WDR8,-0.707,-0.027
C3orf18,-0.058,0.69
C3orf19,-0.668,0.053
WDR6,-0.051,-0.88
C3orf14,0.313,-0.85
C3orf15,-0.727,-0.229
MSL2,-0.583,0.605
LASS1,0.279,-0.753
WDR4,-0.697,0.36
WDR1,-0.024,-0.828
TTPA,0.507,-0.625
KCNQ5,-0.567,0.525
KCNQ2,0.517,-0.596
KCNQ1,0.439,-0.554
PCGF1,-0.688,0.25
LOC100129616,-0.876,-0.006
DCAF8L2,-0.883,-0.041
KIAA0895L,-0.624,-0.256
WNT11,0.189,-0.566
WNT16,0.227,-0.688
SYNPR,0.377,-0.692
LRP5L,-0.822,-0.048
FAM107A,0.425,-0.766
RASGRP1,0.777,0.152
RASGRP2,-0.7,-0.209
MSI1,-0.079,0.252
MSI2,0.179,-0.69
SYNPO,0.233,-0.587
MSH5,0.552,-0.376
MSH4,-0.437,0.598
WNT2B,-0.547,-0.172
LOC100129637,0.027,0.68
SLC17A7,0.762,-0.286
SLC17A8,0.373,-0.686
KCNN4,-0.775,-0.048
SLC17A5,-0.768,-0.353
SLC17A6,-0.449,0.348
FAM106A,-0.771,0.124
KCNN3,0.552,-0.734
KCNN2,0.06,-0.665
SETD7,-0.755,0.478
SETD8,-0.172,-0.246
SETD3,-0.711,-0.14
MEF2C,-0.285,0.434
OXA1L,-0.811,-0.442
MEF2A,-0.489,0.626
AC084018.1,-0.39,0.353
REP15,-0.236,0.229
USE1,0.43,-0.613
RORB,-0.596,0.658
RORA,-0.673,0.631
DIRAS1,-0.245,0.589
DIRAS2,-0.208,0.397
DIRAS3,0.34,-0.474
FAM150B,0.554,-0.75
ROS1,-0.202,0.66
ANKS3,-0.833,0.195
SIPA1L2,-0.497,0.4
SIPA1L3,-0.464,-0.003
ISG20L2,-0.55,0.261
SCYL2,-0.22,0.101
NFKBIE,0.031,-0.741
NFKBIA,-0.836,0.176
KBTBD2,-0.929,-0.054
KBTBD3,-0.879,0.157
KBTBD6,-0.168,-0.789
KBTBD8,-0.578,0.35
EFR3A,-0.807,0.26
SPP1,-0.614,-0.155
TMEM120A,0.112,-0.861
TECTA,-0.089,0.172
CAMK2N2,0.016,0.407
USF2,-0.561,0.439
CAMK2N1,0.101,0.019
FNIP2,0.105,-0.35
FAM151A,0.399,0.448
HTATIP2,-0.85,-0.342
GRIP1,-0.647,-0.405
SPI1,0.697,-0.239
CYP4F35P,-0.459,-0.525
MMP28,0.569,-0.564
CDR2L,-0.677,0.625
DMKN,-0.887,0.289
SPIB,0.214,0.44
CCDC28A,-0.124,-0.735
CCDC28B,-0.387,0.063
NFKBIZ,-0.572,0.614
MMP17,0.549,-0.07
MMP16,-0.228,-0.13
MMP15,-0.07,0.401
RFTN1,0.036,0.087
ELMO3,-0.117,0.616
ELMO2,0.075,-0.84
ELMO1,-0.497,0.082
TXN,0.545,-0.669
GRIP2,0.11,0.791
TXK,-0.281,0.599
FAM153B,-0.334,0.259
FAM153A,-0.258,-0.018
SNAP29,0.044,-0.834
MKNK2,-0.89,0.203
MKNK1,-0.505,-0.242
ERI3,0.098,-0.792
IGSF10,0.719,-0.434
FAM71F1,0.685,-0.618
ANKS6,-0.892,0.013
FAM156A,-0.921,-0.064
SNAP25,-0.773,0.13
FAM71F2,0.621,-0.227
RP9P,-0.683,0.129
CRIPAK,-0.495,0.521
PHF11,-0.173,-0.324
PHF17,-0.841,0.134
IGSF21,0.048,-0.141
IGSF22,0.183,-0.659
FAM155A,-0.59,0.543
FAM71E1,-0.804,0.399
YKT6,0.303,-0.827
GRIK1,0.428,-0.48
GRIK2,0.204,-0.814
SNRPD3,-0.01,-0.756
GRIK3,0.868,0.079
GRIK4,0.385,-0.109
GRIK5,0.296,-0.646
TGFB1,0.659,-0.283
FNTB,-0.208,0.396
USP27X,0.274,-0.284
LOC100130938,-0.114,-0.388
USP46-AS1,0.708,-0.248
TGFBI,0.613,-0.338
AP004607.4,-0.574,-0.647
LOC100287813,-0.379,0.46
ASCL2,0.854,-0.399
DCUN1D2,-0.931,0.305
DCUN1D3,0.035,0.303
ASCL5,-0.167,0.259
DCUN1D5,0.369,-0.776
SPTB,-0.377,0.456
IL12RB2,0.566,-0.704
TFDP2,0.01,-0.654
TFDP3,-0.256,-0.086
UCN,-0.107,0.308
MYO1B,-0.107,0.456
MYO1E,-0.732,0.136
GRIN1,0.423,0.51
MYO1F,0.152,-0.744
MYO10,0.402,-0.458
LOC493754,-0.896,-0.138
MYO16,0.516,-0.578
MYO19,-0.516,0.732
COL20A1,0.564,-0.26
LOC100287869,-0.713,-0.289
WARS,-0.198,-0.003
AHNAK,0.593,-0.42
TRDN,0.349,-0.02
CAPN12,0.532,-0.507
CAPN14,-0.65,0.339
UBAP2,-0.414,-0.805
DMC1,0.598,-0.523
UBAP1,-0.901,-0.036
ROM1,-0.16,-0.621
TIMM10,-0.14,-0.88
CNTNAP3B,0.186,-0.558
LOC339352,0.803,-0.112
ICT1,-0.835,-0.047
SPRN,0.673,-0.244
LOC100287872,-0.337,-0.744
CEP192,-0.9,0.113
PM20D2,-0.094,-0.371
AC068020.3,0.661,-0.48
PRR16,-0.453,0.354
PRR15,-0.08,-0.402
PRR14,-0.243,0.267
PRR13,-0.293,-0.804
RRN3P3,-0.471,0.308
FAM86B1,0.644,-0.397
RP4-695O20__B.1,-0.702,0.41
GRID2,0.718,-0.221
IZUMO1,0.005,0.376
GRID1,-0.516,0.208
KRT13,-0.035,0.24
KRT19,0.015,-0.55
KRT17,0.546,-0.357
KRT14,0.556,-0.085
BIN1,-0.123,-0.633
BIN2,0.036,-0.384
MYO9B,-0.754,-0.085
IDH2,0.043,-0.774
CHI3L1,-0.394,-0.076
KRT31,0.289,-0.143
RPF1,-0.872,-0.324
SAP130,0.707,0.073
IDI2,-0.046,0.651
IDI1,-0.785,-0.066
CLSPN,0.498,-0.47
COL21A1,0.369,-0.659
MYO7A,-0.013,-0.262
AC005041.9,-0.809,0.091
RPGR,-0.934,0.201
LOC124685,-0.123,-0.841
UROS,-0.289,-0.791
THG1L,-0.761,0.046
MYO5B,0.387,-0.056
NSDHL,-0.092,-0.843
MYO5C,-0.588,0.409
FLJ30901,0.287,0.451
GRIA3,-0.198,-0.669
SNAI3,0.214,-0.212
GRIA1,0.681,-0.559
C5ORF62,-0.851,0.032
C6orf52,0.422,-0.822
NT5DC2,0.468,-0.384
TTK,-0.115,0.415
NT5DC3,0.436,-0.81
TTN,0.558,0.241
TTL,0.721,0.263
NT5DC1,-0.764,0.22
C9orf140,0.504,-0.013
TTR,0.273,-0.031
C6orf59,-0.665,-0.235
KRT86,0.62,-0.269
C6orf57,-0.069,0.19
AKIRIN1,0.05,-0.756
KRT83,0.624,-0.144
AKIRIN2,0.65,-0.395
MFGE8,0.18,-0.06
C9orf153,-0.559,0.206
IGSF6,0.218,-0.688
IGSF5,-0.525,0.095
C9orf156,-0.595,0.082
IGSF3,-0.333,0.29
BIVM,-0.245,0.602
ERC2,0.062,-0.601
ERC1,0.011,-0.362
FAM171A2,0.778,-0.104
FAM171A1,-0.379,0.428
ROBLD3,0.124,-0.887
TRH,0.764,0.223
LOH12CR2,0.069,-0.872
NKX3-1,-0.24,0.764
KCTD4,0.488,-0.702
KCTD8,-0.226,0.636
URM1,0.065,0.435
KCTD9,-0.783,0.058
C6orf47,-0.275,0.793
SPCS2,-0.499,-0.383
C6orf48,-0.716,-0.516
LOC732327,-0.39,0.344
C6orf97,0.076,-0.586
C6orf99,0.715,0.169
TPO,0.543,-0.402
ITIH2,0.144,-0.075
AGPHD1,0.611,0.212
EFR3B,0.73,-0.388
FILIP1,0.541,-0.739
CD3EAP,0.165,0.715
C9orf117,0.319,-0.189
C9orf116,0.332,-0.615
C9orf119,0.146,-0.807
OXNAD1,-0.82,0.142
PPP4R4,0.635,-0.687
CKS1B,-0.367,-0.786
TNF,-0.696,0.355
TNC,0.441,0.168
C6orf70,-0.464,-0.819
RPA4,-0.149,-0.196
RPA2,-0.155,-0.886
TNR,0.812,0.108
ETNK2,0.589,-0.656
TNN,0.755,-0.331
ERCC4,-0.858,0.031
ENOSF1,-0.017,-0.328
C6orf89,-0.46,-0.785
TOX,-0.494,-0.024
C9orf135,0.342,-0.148
ARAP3,-0.703,-0.105
ARAP2,-0.77,0.265
TUBB2B,0.283,-0.465
SURF6,-0.257,-0.833
TUBB2A,0.601,-0.724
TUBB2C,0.128,-0.81
ACTG1,-0.096,-0.94
ACTG2,0.285,-0.298
SYK,0.155,-0.726
TMEM132A,0.683,-0.259
TMEM132E,-0.274,0.711
BCL2L11,0.235,0.258
TMEM132D,0.018,0.279
TMEM132C,-0.286,0.283
BCL2L10,0.03,-0.646
NAPEPLD,-0.81,0.253
TRAPPC9,0.435,-0.145
TRAPPC5,0.756,0.173
TRAPPC1,0.226,-0.018
FAM163A,0.589,-0.127
TNFRSF6B,-0.822,-0.173
IBSP,0.043,-0.351
KRT16P2,0.662,0.032
ESM1,-0.781,-0.164
DAPL1,0.634,-0.677
FAM162A,-0.37,-0.777
LOC339290,-0.725,-0.085
FAM162B,-0.353,0.329
RPSA,-0.772,-0.433
RPS6,-0.379,-0.383
